fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
864214,2022-09-11 00:05:00+00:00,A. Escobedo,Tigres UANL,Leon,0,1,9,5,14,0,6,6
864215,2022-09-11 02:05:00+00:00,F. Hernández,Toluca,U.N.A.M. - Pumas,2,2,3,7,10,3,4,7
864216,2022-09-11 02:05:00+00:00,D. Quintero,Guadalajara Chivas,Puebla,1,0,2,6,8,0,4,4
864217,2022-09-11 21:00:00+00:00,C. Ramos,Cruz Azul,Mazatlán,2,0,7,1,8,0,3,3
864218,2022-09-11 23:05:00+00:00,Ó. Mejía,Atlas,Atletico San Luis,1,3,4,4,8,2,1,3
864219,2022-09-12 01:05:00+00:00,Ó. Macías,CF Pachuca,Club Tijuana,6,1,6,7,13,1,1,2
864174,2022-09-14 02:05:00+00:00,F. Guerrero,Guadalajara Chivas,Tigres UANL,1,4,10,8,18,0,3,3
864138,2022-09-15 02:05:00+00:00,F. Hernández,Club America,Santos Laguna,3,3,11,2,13,0,6,6
864160,2022-09-15 02:05:00+00:00,V. Cáceres,FC Juarez,CF Pachuca,2,1,4,4,8,3,2,5
864233,2022-09-16 00:00:00+00:00,M. Ortíz,Cruz Azul,Leon,2,1,18,2,20,2,2,4
864220,2022-09-17 00:00:00+00:00,C. Ramos,Puebla,Tigres UANL,2,1,5,6,11,4,9,13
864221,2022-09-17 02:00:00+00:00,D. Quintero,Mazatlán,Toluca,1,1,4,4,8,3,3,6
864223,2022-09-18 00:05:00+00:00,M. Ortíz,Monterrey,Atlas,2,0,6,1,7,2,2,4
864224,2022-09-18 01:00:00+00:00,A. Escobedo,Club America,Guadalajara Chivas,2,1,3,6,9,1,4,5
864225,2022-09-18 22:00:00+00:00,F. Guerrero,U.N.A.M. - Pumas,Cruz Azul,1,2,7,5,12,1,2,3
864222,2022-09-19 02:00:00+00:00,L. Santander,Atletico San Luis,CF Pachuca,1,2,2,5,7,1,3,4
864226,2022-09-19 00:05:00+00:00,Ó. Macías,Santos Laguna,FC Juarez,2,0,7,7,14,1,3,4
864227,2022-09-19 00:05:00+00:00,Ó. Mejía,Leon,Club Queretaro,3,1,4,4,8,0,5,5
864228,2022-09-19 02:05:00+00:00,D. Montaño,Club Tijuana,Necaxa,1,1,3,5,8,2,3,5
864149,2022-09-24 02:05:00+00:00,A. Escobedo,Puebla,U.N.A.M. - Pumas,2,1,4,4,8,3,3,6
864237,2022-09-24 00:00:00+00:00,F. Hernández,Necaxa,Mazatlán,2,2,5,4,9,3,3,6
864238,2022-10-01 00:00:00+00:00,M. Ortíz,Puebla,Club America,1,2,3,4,7,1,1,2
864239,2022-10-01 02:00:00+00:00,D. Quintero,FC Juarez,U.N.A.M. - Pumas,3,1,1,6,7,3,9,12
864240,2022-10-01 22:00:00+00:00,Ó. Mejía,Atletico San Luis,Tigres UANL,0,3,1,5,6,3,5,8
864241,2022-10-01 22:05:00+00:00,F. Hernández,Monterrey,CF Pachuca,0,0,3,1,4,2,3,5
864242,2022-10-02 00:05:00+00:00,V. Cáceres,Atlas,Necaxa,1,0,1,4,5,0,2,2
864243,2022-10-02 02:05:00+00:00,C. Ramos,Cruz Azul,Guadalajara Chivas,2,1,2,5,7,2,1,3
864244,2022-10-02 17:00:00+00:00,E. Morales,Toluca,Club Queretaro,4,1,7,5,12,4,3,7
864245,2022-10-02 23:05:00+00:00,A. Escobedo,Santos Laguna,Mazatlán,3,0,5,2,7,2,3,5
864246,2022-10-03 01:00:00+00:00,L. Santander,Leon,Club Tijuana,2,2,6,1,7,1,3,4
963835,2022-10-09 00:00:00+00:00,C. Ramos,Tigres UANL,Necaxa,2,0,6,3,9,4,7,11
963836,2022-10-09 17:00:00+00:00,M. Ortíz,Toluca,FC Juarez,3,0,1,5,6,4,3,7
963837,2022-10-09 02:15:00+00:00,F. Guerrero,Cruz Azul,Leon,1,0,4,7,11,3,1,4
965503,2022-10-13 02:06:00+00:00,V. Cáceres,Cruz Azul,Monterrey,0,0,8,2,10,0,1,1
965507,2022-10-13 00:06:00+00:00,M. Ortíz,Puebla,Club America,1,6,1,2,3,1,2,3
965505,2022-10-14 00:06:00+00:00,D. Montaño,Toluca,Santos Laguna,4,3,3,4,7,5,6,11
965509,2022-10-14 02:06:00+00:00,F. Hernández,Tigres UANL,CF Pachuca,1,0,6,5,11,3,3,6
965504,2022-10-16 23:06:00+00:00,A. Escobedo,Monterrey,Cruz Azul,3,0,7,8,15,5,1,6
965508,2022-10-16 01:06:00+00:00,D. Quintero,Club America,Puebla,5,1,3,2,5,2,1,3
965506,2022-10-17 00:06:00+00:00,L. Santander,Santos Laguna,Toluca,1,2,11,3,14,3,1,4
965510,2022-10-17 02:06:00+00:00,F. Guerrero,CF Pachuca,Tigres UANL,2,1,2,3,5,5,6,11
967071,2022-10-20 02:06:00+00:00,M. Ortíz,Toluca,Club America,2,1,1,4,5,2,2,4
967073,2022-10-21 02:06:00+00:00,C. Ramos,CF Pachuca,Monterrey,5,2,6,1,7,1,5,6
967072,2022-10-23 01:06:00+00:00,A. Escobedo,Club America,Toluca,1,1,7,2,9,3,5,8
